eventID,Agency,Identifier,year,month,day,hour,minute,second,timeError,longitude,latitude,SemiMajor90,SemiMinor90,ErrorStrike,depth,depthError,magnitude,sigmaMagnitude,Anthropogenic
777016,ISC,ISC|ISC-mb,1972,1,18,23,26,12.47,0.44,8.1713,44.2181,3.497,4.5,90.0,25.0,,4.51,0.29,,1721460|NEIS|4.10|mb,1721463|ISC|4.10|mb
769184,ISC,ISC|ISC-mb,1972,9,7,22,26,58.57,0.27,-1.3025,45.9873,3.314,3.5,90.0,33.0,,5.2,0.29,,1703659|NEIS|5.30|mb,1703660|MDD|5.60|mb,1703661|MOS|5.40|mb,1703661|MOS|5.50|MS,1703662|LAO|5.00|UK,1703663|ISC|4.90|mb
768689,ISC,ISC|ISC-mb,1972,10,25,21,56,11.31,0.23,9.8651,44.5038,1.733,2.1,90.0,67.0,2.9,5.11,0.29,,1702492|LAO|4.30|UK,1702493|MOS|5.50|mb,1702493|MOS|4.30|MS,1702494|NEIS|5.10|mb,1702497|ISC|4.80|mb
754428,ISC,ISC|ISC-mb,1973,11,14,9,33,57.45,0.69,27.7406,35.286,4.7,3.755,,42.0,7.1,4.85,0.29,,1668372|MOS|4.80|MB,1668374|ATH|4.30|mL,1668376|NEIS|4.40|mb,1668377|LAO|3.70|UK,1668378|ISC|4.50|mb
747270,ISC,ISC|ISC-mb,1974,6,20,17,8,49.08,1.2,15.4636,46.1987,2.367,2.9,90.0,14.0,8.6,4.77,0.29,,1651052|MOS|4.90|MB,1651053|LAO|4.50|UK,1651054|ISC|4.40|mb
731557,ISC,ISC|ISC-mb,1975,3,24,2,33,18.69,0.98,13.1021,46.3127,1.679,2.0,90.0,18.0,10.5,4.43,0.29,,1613516|NEIS|4.20|mb,1613518|LAO|4.20|UK,1613519|ISC|4.00|mb
724473,LDG,LDG|LDG-ML,1975,9,29,1,0,47.5,,7.3,46.0,,,,0.0,,2.09,0.214,,1596966|LDG|2.50|mL
724525,LDG,LDG|LDG-ML,1975,9,30,3,38,38.1,,0.3,43.0,,,,5.0,,2.09,0.214,,1597072|LDG|2.50|mL
722449,LDG,LDG|LDG-ML,1975,10,2,12,32,28.8,,5.4,42.6,,,,0.0,,2.89,0.214,,1592828|LDG|3.30|mL
722542,LDG,LDG|LDG-ML,1975,10,4,21,9,8.6,,-0.1,45.8,,,,15.0,,2.29,0.214,,1593021|LDG|2.70|mL
722691,LDG,LDG|LDG-ML,1975,10,8,17,2,56.8,,4.1,45.2,,,,0.0,,2.19,0.214,,1593319|LDG|2.60|mL
722821,LDG,LDG|LDG-ML,1975,10,12,6,27,46.7,,7.2,46.2,,,,0.0,,2.39,0.214,,1593544|ZUR|2.80|mL,1593546|LDG|2.80|mL
722965,LDG,LDG|LDG-ML,1975,10,16,10,15,7.9,,4.6,50.1,,,,0.0,,2.39,0.214,,1593812|LDG|2.80|mL
723042,LDG,LDG|LDG-ML,1975,10,18,16,24,39.8,,1.8,42.8,,,,10.0,,2.29,0.214,,1593970|LDG|2.70|mL
723142,LDG,LDG|LDG-ML,1975,10,21,23,15,19.8,,7.2,46.4,,,,0.0,,2.19,0.214,,1594188|ZUR|2.80|mL,1594190|LDG|2.60|mL
723143,LDG,LDG|LDG-ML,1975,10,21,23,22,27.8,,-1.2,47.7,,,,5.0,,2.09,0.214,,1594192|LDG|2.50|mL
723149,LDG,LDG|LDG-ML,1975,10,22,2,50,15.6,,7.2,44.9,,,,0.0,,2.09,0.214,,1594200|LDG|2.50|mL
723158,LDG,LDG|LDG-ML,1975,10,22,7,30,20.2,,-3.7,47.2,,,,5.0,,2.99,0.214,,1594217|LDG|3.40|mL
723305,LDG,LDG|LDG-ML,1975,10,26,14,53,9.1,,6.3,45.6,,,,0.0,,2.59,0.214,,1594539|LDG|3.00|mL
723372,LDG,LDG|LDG-ML,1975,10,28,11,32,45.4,,6.5,45.5,,,,5.0,,2.09,0.214,,1594683|LDG|2.50|mL
723486,LDG,LDG|LDG-ML,1975,10,31,13,29,1.9,,5.8,50.3,,,,0.0,,2.49,0.214,,1594930|LDG|2.90|mL
721147,LDG,LDG|LDG-ML,1975,11,1,1,29,25.6,,6.3,44.3,,,,5.0,,2.79,0.214,,1590192|LDG|3.20|mL
721190,LDG,LDG|LDG-ML,1975,11,2,3,34,37.1,,8.1,44.7,,,,5.0,,2.49,0.214,,1590290|LDG|2.90|mL
