Distance (km) IMT Trellis
vs30measured,True,hypo_depth,10.0,rake,0.0,z1pt0,100.0,vs30,800.0,ztor,5.0,dip,90.0
Magnitude,6.50
PGA
rhypo,rx,rjb,repi,rrup,AkkarBommer2010,AkkarCagnan2010,AkkarEtAlRjb2014,BooreAtkinson2008,ChiouYoungs2008,ZhaoEtAl2006Asc
35.4401,34.0000,34.0000,34.0000,34.3657,0.16653205,0.10373721,0.10620561,0.19527392,0.15819596,0.17309678
36.4005,35.0000,35.0000,35.0000,35.3553,0.16168742,0.09977887,0.10230464,0.19066612,0.15280287,0.16811206
37.3631,36.0000,36.0000,36.0000,36.3456,0.15710085,0.09606222,0.09864188,0.18624183,0.14772488,0.16335051
38.3275,37.0000,37.0000,37.0000,37.3363,0.15275300,0.09256760,0.09519751,0.18198930,0.14293717,0.15879807
39.2938,38.0000,38.0000,38.0000,38.3275,0.14862636,0.08927729,0.09195374,0.17789785,0.13841725,0.15444184
40.2616,39.0000,39.0000,39.0000,39.3192,0.14470501,0.08617529,0.08889458,0.17395773,0.13414469,0.15026993
41.2311,40.0000,40.0000,40.0000,40.3113,0.14097451,0.08324713,0.08600565,0.17016001,0.13010094,0.14627136
42.2019,41.0000,41.0000,41.0000,41.3038,0.13742169,0.08047974,0.08327396,0.16649651,0.12626912,0.14243601
43.1741,42.0000,42.0000,42.0000,42.2966,0.13403452,0.07786122,0.08068775,0.16295969,0.12263384,0.13875450
44.1475,43.0000,43.0000,43.0000,43.2897,0.13080203,0.07538078,0.07823638,0.15954264,0.11918108,0.13521816
45.1221,44.0000,44.0000,44.0000,44.2832,0.12771416,0.07302858,0.07591015,0.15623894,0.11589799,0.13181894
46.0977,45.0000,45.0000,45.0000,45.2769,0.12476169,0.07079565,0.07370028,0.15304268,0.11277286,0.12854936
47.0744,46.0000,46.0000,46.0000,46.2709,0.12193613,0.06867381,0.07159874,0.14994839,0.10979494,0.12540249
48.0521,47.0000,47.0000,47.0000,47.2652,0.11922970,0.06665556,0.06959819,0.14695096,0.10695437,0.12237184
