Magnitude - Distance Spectra (km) IMT Trellis
vs30measured,True,hypo_depth,10.0,rake,0.0,z1pt0,100.0,vs30,800.0,ztor,5.0,dip,90.0
Magnitude,5.0,rhypo,11.1803398875,rx,5.0,rjb,5.0,repi,5.0,rrup,7.07106781187
IMT,AkkarBommer2010,AkkarCagnan2010,AkkarEtAlRjb2014,BooreAtkinson2008,ChiouYoungs2008,ZhaoEtAl2006Asc
1.5,0.00121184,0.00071869,0.00100722,0.00236383,0.00149966,0.00145119
1.6,0.00108505,0.00063829,0.00090258,0.00207429,0.00131158,0.00128941
1.7,0.00096709,0.00057096,0.00082364,0.00183469,0.00115536,0.00115393
1.8,0.00086794,0.00051401,0.00074870,0.00163420,0.00102433,0.00103928
1.9,0.00080358,0.00046537,0.00068547,0.00146476,0.00091343,0.00094135
2.0,0.00074937,0.00042348,0.00061986,0.00132028,0.00081883,0.00085700
3.0,0.00041515,-999.000,0.00027909,0.00052075,0.00032957,0.00041414
4.0,0.00005926,-999.000,0.00016740,0.00027863,0.00016637,0.00025526
5.0,-999.000,-999.000,-999.000,0.00017271,0.00009566,0.00020295
7.5,-999.000,-999.000,-999.000,0.00007720,0.00003161,-999.000
10.0,-999.000,-999.000,-999.000,0.00003374,0.00001280,-999.000
====================================================
Magnitude,5.0,rhypo,100.498756211,rx,100.0,rjb,100.0,repi,100.0,rrup,100.124921973
IMT,AkkarBommer2010,AkkarCagnan2010,AkkarEtAlRjb2014,BooreAtkinson2008,ChiouYoungs2008,ZhaoEtAl2006Asc
0.05,0.00457973,0.00185914,0.00255795,0.00675638,0.00351110,0.00599168
0.075,0.00581070,0.00234381,0.00320775,0.00929534,0.00405840,0.00786899
0.1,0.00687992,0.00293408,0.00338466,0.01115492,0.00464103,0.00954599
0.11,0.00743660,0.00300346,0.00344184,0.01149617,0.00486716,0.00954796
0.12,0.00798405,0.00306823,0.00349493,0.01181682,0.00508074,0.00954984
0.13,0.00852318,0.00312861,0.00349903,0.01211795,0.00528314,0.00955165
0.14,0.00905474,0.00318557,0.00348772,0.01240359,0.00547548,0.00955338
0.15,0.00957938,0.00323952,0.00346136,0.01267556,0.00565871,0.00955503
0.16,0.00960149,0.00337927,0.00345354,0.01295175,0.00573643,0.00930346
0.17,0.00962230,0.00351604,0.00344011,0.01321668,0.00580727,0.00907347
0.18,0.00964195,0.00364959,0.00339751,0.01346972,0.00587187,0.00886207
0.19,0.00966058,0.00378059,0.00333779,0.01371354,0.00593078,0.00866682
0.2,0.00967827,0.00390922,0.00331069,0.01394893,0.00598450,0.00848572
0.22,0.00927351,0.00371073,0.00324719,0.01336781,0.00594899,0.00806016
0.24,0.00891844,0.00353757,0.00315368,0.01285846,0.00590553,0.00769071
0.26,0.00850451,0.00339897,0.00300565,0.01245444,0.00580945,0.00727759
