Distance (km) Total Standard Deviations Trellis
vs30measured,True,hypo_depth,10.0,rake,0.0,z1pt0,100.0,vs30,800.0,ztor,5.0,dip,90.0
Magnitude,6.50
PGA
rhypo,rx,rjb,repi,rrup,AkkarBommer2010,AkkarCagnan2010,AkkarEtAlRjb2014,BooreAtkinson2008,ChiouYoungs2008,ZhaoEtAl2006Asc
75.6637,75.0000,75.0000,75.0000,75.1665,0.64851429,0.83221571,0.71210534,0.56400000,0.56019710,0.67574033
76.6551,76.0000,76.0000,76.0000,76.1643,0.64851429,0.83221571,0.71210534,0.56400000,0.56020316,0.67574033
77.6466,77.0000,77.0000,77.0000,77.1622,0.64851429,0.83221571,0.71210534,0.56400000,0.56020910,0.67574033
78.6384,78.0000,78.0000,78.0000,78.1601,0.64851429,0.83221571,0.71210534,0.56400000,0.56021492,0.67574033
79.6304,79.0000,79.0000,79.0000,79.1581,0.64851429,0.83221571,0.71210534,0.56400000,0.56022063,0.67574033
80.6226,80.0000,80.0000,80.0000,80.1561,0.64851429,0.83221571,0.71210534,0.56400000,0.56022624,0.67574033
81.6149,81.0000,81.0000,81.0000,81.1542,0.64851429,0.83221571,0.71210534,0.56400000,0.56023174,0.67574033
82.6075,82.0000,82.0000,82.0000,82.1523,0.64851429,0.83221571,0.71210534,0.56400000,0.56023714,0.67574033
83.6002,83.0000,83.0000,83.0000,83.1505,0.64851429,0.83221571,0.71210534,0.56400000,0.56024244,0.67574033
84.5931,84.0000,84.0000,84.0000,84.1487,0.64851429,0.83221571,0.71210534,0.56400000,0.56024764,0.67574033
85.5862,85.0000,85.0000,85.0000,85.1469,0.64851429,0.83221571,0.71210534,0.56400000,0.56025275,0.67574033
86.5794,86.0000,86.0000,86.0000,86.1452,0.64851429,0.83221571,0.71210534,0.56400000,0.56025777,0.67574033
87.5728,87.0000,87.0000,87.0000,87.1436,0.64851429,0.83221571,0.71210534,0.56400000,0.56026270,0.67574033
88.5664,88.0000,88.0000,88.0000,88.1419,0.64851429,0.83221571,0.71210534,0.56400000,0.56026755,0.67574033
89.5600,89.0000,89.0000,89.0000,89.1403,0.64851429,0.83221571,0.71210534,0.56400000,0.56027231,0.67574033
90.5539,90.0000,90.0000,90.0000,90.1388,0.64851429,0.83221571,0.71210534,0.56400000,0.56027699,0.67574033
91.5478,91.0000,91.0000,91.0000,91.1373,0.64851429,0.83221571,0.71210534,0.56400000,0.56028160,0.67574033
92.5419,92.0000,92.0000,92.0000,92.1358,0.64851429,0.83221571,0.71210534,0.56400000,0.56028613,0.67574033
