Magnitude IMT Trellis
vs30measured,True,hypo_depth,10.0,rake,0.0,z1pt0,100.0,vs30,800.0,ztor,5.0,dip,90.0
Distances,rx,15.0,rjb,15.0,rrup,16.0
PGA
Magnitude,AkkarBommer2010,AkkarCagnan2010,AkkarEtAlRjb2014,BooreAtkinson2008,ChiouYoungs2008,ZhaoEtAl2006Asc
6.5,0.09089619,0.06063715,0.07410848,0.09372910,0.09987199,0.09481081
6.6,0.09963635,0.06666937,0.08418979,0.10391241,0.10827246,0.10753595
6.7,0.10831844,0.07278503,0.09536851,0.11478222,0.11698986,0.12154245
6.8,0.11678830,0.07890162,0.10499672,0.12249698,0.12602627,0.13687514
6.9,0.12488455,0.08492938,0.11234965,0.12665112,0.13538428,0.15356285
7.0,0.13244344,0.09077330,0.11987309,0.13094614,0.14506670,0.17161488
7.1,0.13930433,0.09633552,0.12753392,0.13538681,0.15507626,0.19101755
7.2,0.14531524,0.10151796,0.13529561,0.13997807,0.16541546,0.21173100
7.3,0.15033847,0.10622518,0.14311848,0.14472503,0.17608628,0.23368648
7.4,0.15425580,0.11036726,0.15095995,0.14963297,0.18709014,0.25678432
7.5,0.15697311,0.11386261,0.15877487,0.15470735,0.19842770,0.28089284
7.6,0.15842416,0.11664072,0.16651594,0.15995382,0.21009883,0.30584840
7.7,0.15857327,0.11864444,0.17413412,0.16537820,0.22210251,0.33145664
7.8,0.15741674,0.11983198,0.18157913,0.17098654,0.23443684,0.35749516
7.9,0.15498308,0.12017835,0.18880000,0.17678506,0.24709898,0.38371750
8.0,0.15133175,0.11967623,0.19574563,0.18278023,0.26008521,0.40985833
====================================================
SA(2.0)
Magnitude,AkkarBommer2010,AkkarCagnan2010,AkkarEtAlRjb2014,BooreAtkinson2008,ChiouYoungs2008,ZhaoEtAl2006Asc
4.5,0.00067540,0.00029917,0.00076602,0.00118649,0.00105833,0.00094610
4.6,0.00089691,0.00040140,0.00095636,0.00149957,0.00137838,0.00118595
4.7,0.00118170,0.00053432,0.00118946,0.00188404,0.00178052,0.00148133
4.8,0.00154470,0.00070566,0.00147376,0.00235310,0.00228005,0.00184366
4.9,0.00200333,0.00092460,0.00181907,0.00292155,0.00289326,0.00228636
5.0,0.00257773,0.00120193,0.00223677,0.00360588,0.00363682,0.00282507
5.1,0.00329074,0.00155014,0.00273992,0.00442417,0.00452722,0.00347795
5.2,0.00416798,0.00198349,0.00334351,0.00539607,0.00558010,0.00426591
5.3,0.00523758,0.00251800,0.00406457,0.00654255,0.00680952,0.00521288
5.4,0.00652995,0.00317137,0.00492237,0.00788570,0.00822743,0.00634608
5.5,0.00807725,0.00396283,0.00593855,0.00944839,0.00984314,0.00769617
5.6,0.00991267,0.00491281,0.00713729,0.01125381,0.01166313,0.00929749
5.7,0.01206958,0.00604257,0.00854544,0.01332493,0.01369091,0.01118808
5.8,0.01458033,0.00737360,0.01019253,0.01568392,0.01592723,0.01340974
5.9,0.01747498,0.00892698,0.01211091,0.01835136,0.01837036,0.01600786
6.0,0.02077974,0.01072249,0.01433570,0.02134547,0.02101657,0.01903120
6.1,0.02451531,0.01277774,0.01690473,0.02468127,0.02386063,0.02253141
6.2,0.02869516,0.01510702,0.01985842,0.02836959,0.02689632,0.02656239
6.3,0.03332376,0.01772026,0.02323958,0.03241625,0.03011695,0.03117936
6.4,0.03839488,0.02062187,0.02709312,0.03682108,0.03351576,0.03643773
6.5,0.04389011,0.02380964,0.03146566,0.04157711,0.03708623,0.04239164
6.6,0.04977760,0.02678181,0.03640507,0.04666981,0.04082238,0.04909216
6.7,0.05601126,0.02988778,0.04195987,0.05207651,0.04471886,0.05658531
6.8,0.06253032,0.03309133,0.04695964,0.05643502,0.04877100,0.06490970
6.9,0.06925960,0.03634973,0.05103095,0.05966072,0.05297490,0.07409401
7.0,0.07611028,0.03961457,0.05524460,0.06307080,0.05732730,0.08415427
7.1,0.08298137,0.04283269,0.05957898,0.06667579,0.06182551,0.09509117
7.2,0.08976188,0.04594755,0.06400936,0.07048683,0.06646738,0.10688730
7.3,0.09633349,0.04890080,0.06850797,0.07451571,0.07125110,0.11950476
7.4,0.10257384,0.05163406,0.07304422,0.07877486,0.07617518,0.13288303
7.5,0.10836023,0.05409077,0.07758501,0.08327746,0.08123828,0.14693751
7.6,0.11357357,0.05621817,0.08209504,0.08803742,0.08643914,0.16155873
7.7,0.11810236,0.05796915,0.08653726,0.09306945,0.09177651,0.17661251
7.8,0.12184674,0.05930397,0.09087335,0.09838910,0.09724908,0.19194113
7.9,0.12472205,0.06019179,0.09506423,0.10401280,0.10285539,0.20736567
8.0,0.12666207,0.06061183,0.09907062,0.10995795,0.10859383,0.22268936
====================================================
