eventID,Agency,year,month,day,hour,minute,second,timeError,longitude,latitude,SemiMajor90,SemiMinor90,ErrorStrike,depth,depthError,magnitude,sigmaMagnitude,magnitudeType
1002430,ISC-GEM,1934,7,21,10,39,15.269999,nan,-82.510999999999996,8.2050000000000001,9.3000000000000007,7.2000000000000002,66.400000000000006,25.0,14.4,6.7199999999999998,0.20000000000000001,
1002444,GUTE,1934,8,6,12,7,8.0,nan,-77.75,3.25,nan,nan,nan,35.0,nan,6.0,0.20000000000000001,
1002484,GUTE,1934,10,29,23,25,23.0,nan,-78.0,-5.0,nan,nan,nan,110.0,nan,6.2000000000000002,0.20000000000000001,
1002550,GUTE,1935,3,8,11,59,14.0,nan,-80.0,-4.0,nan,nan,nan,100.0,nan,6.0,0.20000000000000001,
1002603,GUTE,1935,6,11,21,55,55.0,nan,-83.0,3.5,nan,nan,nan,35.0,nan,5.5999999999999996,0.20000000000000001,
1002648,GUTE,1935,9,18,4,58,0.0,nan,-76.0,5.5,nan,nan,nan,80.0,nan,6.2000000000000002,0.20000000000000001,
1002673,GUTE,1935,10,27,22,5,5.0,nan,-76.0,4.0,nan,nan,nan,150.0,nan,5.5,0.20000000000000001,
1002677,GUTE,1935,11,2,21,5,40.0,nan,-79.0,-2.0,nan,nan,nan,130.0,nan,6.0,0.20000000000000001,
1002685,ISC-GEM,1935,11,30,3,39,52.200000000000003,nan,-79.739999999999995,9.6539999999999999,10.9,7.7000000000000002,70.599999999999994,35.0,14.199999999999999,6.4000000000000004,0.26000000000000001,
1002701,ISC-GEM,1935,12,24,12,24,13.179999,nan,-79.463999999999999,2.6139999999999999,16.199999999999999,6.7999999999999998,69.599999999999994,25.0,12.300000000000001,6.2000000000000002,0.20000000000000001,
1002743,GUTE,1936,3,20,18,46,28.0,nan,-84.0,11.0,nan,nan,nan,35.0,nan,5.5999999999999996,0.20000000000000001,
1002767,GUTE,1936,5,6,3,38,55.0,nan,-75.0,-8.0,nan,nan,nan,160.0,nan,6.0,0.20000000000000001,
1002880,ISC-GEM,1937,3,9,15,40,25.679998999999999,nan,-83.397999999999996,8.8219999999999992,9.5999999999999996,7.7000000000000002,36.0,20.0,16.199999999999999,6.4000000000000004,0.20000000000000001,
1002902,GUTE,1937,5,21,13,12,25.0,nan,-77.5,2.5,nan,nan,nan,90.0,nan,6.5,0.20000000000000001,
1002921,GUTE,1937,7,8,12,51,5.0,nan,-84.0,3.0,nan,nan,nan,35.0,nan,6.0,0.20000000000000001,
